name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
Ethiopia Bensa Segra Natural,Big Creek Coffee Roasters,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,4.7,93,October 2018,fruitforward richly sweet dried blueberry ginger hibiscus cedar honey in aroma and cup sweettoned in structure with round gentle acidity full viscous mouthfeel quiet finish with lingering notes of blueberry and cocoa nib,produced by heleanna georgalis from distinctive largely indigenous varieties of arabica long grown in the region this is a dryprocessed or natural coffee meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees big creek coffee roasters is a small qualityoriented batch roaster located in montanas bitterroot valley visit wwwbigcreekcoffeeroasterscom or call  for more information,an invitingly clean crisp naturalprocessed ethiopia with hints of gingerlike spice notes
Ethiopia Hambela Natural,Big Shoulders Coffee,Medium-Light,United States,Hambela Wamena District,Guji Zone,5.29,94,October 2018,richly fruittoned deeply sweet dried raspberry dark chocolate cedar freesia honey in aroma and cup sweettart in structure with lively acidity full syrupy mouthfeel the resonant finish consolidate to notes of dried berries and dark chocolate with undercurrents of freshcut aromatic wood,southern ethiopia produces distinctive coffees from traditional largely indigenous varieties of arabica long grown in the region this is a natural or dryprocessed version meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees big shoulders coffee is a chicago artisan roaster that emphasizes a freshroasted nononsense approach to fine coffee visit wwwbigshoulderscoffeecom or call  for more information,a fruitforward crisply sweet naturalprocessed ethiopia cup
Ethiopia Kayon Mountain,Big Creek Coffee Roasters,Medium-Light,United States,Odo Shakiso District,Guji Zone,4.7,93,October 2018,intricate richly sweet lemon verbena raspberry roasted cacao nib maple syrup jasmine in aroma and cup sweetly tart structure with crisp acidity full syrupy mouthfeel the flavorsaturated finish centers around lemon verbena and maple syrup,produced by ato esmael and his friends and family at their estate farm in the guji zone of southern ethiopia certified organic and produced from distinctive largely indigenous varieties of arabica long grown in the region coffees like this one processed by the wet or washed method fruit skin and pulp is removed before drying typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes big creek coffee roasters is a small qualityoriented batch roaster located in montanas bitterroot valley visit wwwbigcreekcoffeeroasterscom or call  for more information,a crisp sweetly herby and citrusy ethiopia natural  and certified organic
Guatemala Huehuetenango La Garita,Big Creek Coffee Roasters,Medium-Light,United States,Huehuetenango,Guatemala,4.41,92,October 2018,crisp sweetly nuttoned almond brittle lilac black cherry freshcut fir agave syrup in aroma and cup deeply sweet in structure with brisk acidity velvetysmooth mouthfeel crisp and sweet in the finish centered around notes of black cherry and almond,produced by petronilo martinez of la garita farm entirely from trees of the heirloom bourbon variety of arabica this is a wetprocessed or washed coffee meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying big creek coffee roasters is a small qualityoriented batch roaster located in montanas bitterroot valley visit wwwbigcreekcoffeeroasterscom or call  for more information,a gently brisk sweetly nuttoned central america cup smooth balanced friendly
Roba Ethiopia (Chelbessa),Greater Goods Coffee Roasters,Medium-Light,United States,Gedeb District,Gedeo Zone,5.29,93,October 2018,crisply sweetsavory coconut hibiscus star anise roasted cacao nib cedar in aroma and cup sweetly tart in structure with bright acidity delicate silky mouthfeel the finish centers around notes of coconut and hibiscus in the short with a hint of star anise in the long,southern ethiopia produces distinctive coffees from largely indigenous traditional varieties of arabica long grown in the region coffees like this one processed by the wet or washed method fruit skin and pulp is removed before drying typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes founded in  the greater goods mission is to enrich the lives of coffeedrinkers through passion creativity innovation and commitment to the consistency of the specialty coffee the company roasts and through the local causes supported with its proceeds visit greatergoodsroastingcom or call  for more information,a richly sweet savoryedged ethiopia cup both spicetoned and redolent of tropical fruit
Ethiopia Hambela Hasam,Revel Coffee,Medium-Light,United States,Hambela Wamena District,Guji Zone,5.0,93,October 2018,delicately sweetsavory lemon verbena pink peppercorn dried papaya honeysuckle bakers chocolate in aroma and cup the structure nicely balances sweet and savory satinysmooth mouthfeel the herbtoned finish leads with notes of lemon verbena and papaya with bakers chocolate as a throughline,southern ethiopia produces distinctive coffees from traditional largely indigenous varieties of arabica long grown in the region this is a natural or dryprocessed version meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees revel coffee is a microroaster located in billings montana its motto quality is paramounta difference you can revel in visit wwwrevelcoffeecom or call  for more information,a cocoatoned naturalprocessed ethiopia cup deeply fruity and sweetly herbaceous
Kenya Kabare AA,Revel Coffee,Medium-Light,United States,South-Central Kenya,Hambela Wamena District,5.14,93,October 2018,deeply sweet spicetoned red currant tangerine zest roasted cacao nib honey narcissuslike flowers in aroma and cup sweettart structure with lively bright acidity velvetysmooth mouthfeel the long flavorsaturated finish consolidates to cocoa nib and tangerine zest with lingering notes of narcissus,produced by the kabare cooperative from trees of the admired sl and sl varieties of arabica despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather the famed kenya coffee auction system and its participating cooperatives continue to produce some of the worlds most elegant and distinctive coffees aa is the highest grade of kenya coffee based on bean size and freedom from physical imperfections revel coffee is a microroaster located in billings montana its motto quality is paramounta difference you can revel in visit wwwrevelcoffeecom or call  for more information,a spicedriven floraltoned kenya cup with balanced bright acidity
El Salvador Finca Nombre de Dios Honey,Red Rock Roasters,Medium-Light,United States,Metapan,El Salvador,4.04,92,October 2018,richtoned sweetly savory dark chocolate honeysuckle apricot pink grapefruit zest cedar in aroma and cup savorysweet in structure with gentle rounded acidity full satiny mouthfeel the finish resonates with notes of chocolatetoned apricot and cedar,produced by maria elena botto of finca nombre de dios entirely from trees of the heirloom bourbon variety of arabica processed by the honey method which means that the outer skin is removed as it is in the wet or washed process but at least some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin red rock roasters was founded in albuquerque new mexico in  in a family barn and remains familyowned and focused on quality and freshness visit wwwredrockroasterscom or call  for more information,stone fruit dark chocolate and sweet florals characterize this allbourbon coffee from a womanowned farm in el salvador
Ethiopia Gera Limmu Oromia,Temple Coffee and Tea,Medium-Light,United States,Limu Woreda,Oromia Region,5.14,94,September 2018,delicate intricate richly sweet dried jasmine mango chutney myrrh bakers chocolate bergamot in aroma and cup sweetly tart structure with lively acidity delicate satiny mouthfeel tartleaning richtoned finish characterized by notes of mango chutney and bakers chocolate,limu also spelled limmu is a growing region in southern ethiopia that produces distinctive coffees from traditional varieties of arabica long grown in the area ethiopian coffees like this one processed by the wet or washed method fruit skin and pulp are removed before drying typically express great aromatic complexity and intensity with a particular emphasis on floral notes temple coffee is a qualityfocused retail and wholesale specialty roaster active in sacramento california since  committed to sourcing roasting and brewing the finest coffees temple features coffee from distinguished single estates and cooperatives around the world visit wwwtemplecoffeecom or call  for more information,a bright and zesty floral and spicedriven wetprocessed ethiopia cup
Kenya Kabare Konyu,Temple Coffee and Tea,Medium-Light,United States,Kirinyaga District,South-Central Kenya,6.03,94,September 2018,richly sweet spicetoned black currant blood orange zest roasted cacao nib freesialike flowers sugar cane in aroma and cup sweettart in structure with juicy bright acidity full syrupy mouthfeel the crisp resonant finish consolidates to cocoatoned black currant and freesia,produced by members of the kabare farmers cooperative society from trees of the sl sl and ruiru  varieties of arabica despite grower discontent contested government coffee policy and urban encroachment on prime coffee lands the famed kenya coffee auction system and its participating cooperatives continue to produce some of the worlds most elegant and distinctive coffees temple coffee is a qualityfocused retail and wholesale specialty roaster active in sacramento california since  committed to sourcing roasting and brewing the finest coffees temple features coffee from distinguished single estates and cooperatives around the world visit wwwtemplecoffeecom or call  for more information,a classic kenya cup juicysweet with leading notes of black currant backed up by cocoa and spicy florals
Costa Rica Francisco Ruiz,Temple Coffee and Tea,Medium-Light,United States,Sabanilla De Alajuela,Central Valley,6.17,90,September 2018,richly sweet robust peach cedar molasses gardenia brazil nut in aroma and cup quietly sweettart in structure creamy mouthfeel the finish leads with notes of peach and brazil nut with a cedar throughline,produced by the ruiz family from trees of the caturra and catuai varieties of arabica and processed by the black honey method with all honey processing methods some sweet pulp or fruit flesh honey is allowed to adhere to the beans during drying in the black honey variation the beans are subjected to a slower drying process than is the case with yellow or red honey processing temple coffee is a qualityfocused retail and wholesale specialty roaster active in sacramento california since  committed to sourcing roasting and brewing the finest coffees temple features coffee from distinguished single estates and cooperatives around the world visit wwwtemplecoffeecom or call  for more information,a roundly sweettart costa rica honeyprocessed cup with pretty notes of stonefruit and molasses framed by aromatic wood notes
Alemu Bukato Espresso,JBC Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.51,95,September 2018,evaluated as espresso richly sweet balanced floraltoned dried jasmine concord grape fine musk mango tangerine zest in aroma and small cup lively silkysmooth mouthfeel resonant flavorsaturated finish in cappuccinoscaled milk jasmine and mango notes are further amplified deepened by pungent musk underneath,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of  yirgacheffe is a coffee region in southern ethiopia that produces distinctive coffees from traditional varieties of arabica long grown in the region yirgacheffe coffees like this one processed by the wet or washed method fruit skin and pulp are removed before drying typically express great aromatic complexity and intensity with a particular emphasis on floral notes almost all yirgacheffe coffees are produced by villagers on small garden plots interplanted with food and other subsistence crops jbc coffee roasters vision is simple let the coffee lead the way through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums visit wwwjbccoffeeroasterscom or call  for more information,a nuanced richly layered yirgacheffe espresso with bold fruit and floral tones complicated by hints of fine musk throughout both the straight shot and in milk
Alemu Bukato Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.51,93,September 2018,deeply rich crisply sweettart apricot pink grapefruit zest malt dark chocolate orange blossom in aroma and cup sweetsavory in structure with juicy acidity satinysmooth mouthfeel the nuanced finish leads with notes of apricot and orange blossom in the short rounding to malttoned chocolate in the long,yirgacheffe is a coffee region in southern ethiopia that produces distinctive coffees from traditional varieties of arabica long grown in the region yirgacheffe coffees like this one processed by the wet or washed method fruit skin and pulp are removed before drying typically express great aromatic complexity and intensity with a particular emphasis on floral notes almost all yirgacheffe coffees are produced by villagers on small garden plots interplanted with food and other subsistence crops jbc coffee roasters vision is simple let the coffee lead the way through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums visit wwwjbccoffeeroasterscom or call  for more information,a classic washed yirgacheffe cup juicy and crisply sweettart with notes of stone fruit citrus blossom and chocolate throughout
ASOPEP Colombia,JBC Coffee Roasters,Medium-Light,United States,Planadas,Tolima Department,4.63,91,September 2018,cocoatoned deeply sweetsavory dark chocolate mulberry dried mushroom lily and rhododendronlike floral notes in aroma and cup sweetly savory structure with round gentle acidity delicate silky mouthfeel the finish centers around notes of dark chocolate and vanillalike florals with an umami undercurrent akin to dried mushroom,this coffee is certified organically grown and certified fair trade the latter meaning it was purchased at no less than a minimum price determined by the certifying agency to be economically sustainable for farmers produced by the asociacin de productores ecolgicos de planadas asopep and  asociacin de agricultores y productores de caf especial de montalvo agprocem from trees of the castillo caturra colombia and typica varieties of arabica it is a wetprocessed or washed coffee meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying jbc coffee roasters vision is simple let the coffee lead the way through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums visit wwwjbccoffeeroasterscom or call  for more information,a sweet chocolaty fto colombia cup with umami intrigue
Tarime Tanzania,Lexington Coffee Roasters,Medium-Light,United States,Tarime District,Mara Region,4.34,95,September 2018,deeply rich sweetsavory nuanced and layered dried mango scent of fresh cigar lemon verbena pink grapefruit zest wisterialike flowers in aroma and cup balanced sweetly savory structure with a crisp yet syrupy mouthfeel the resonant finish maintains all of the complexity of the cup ,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of  produced from the admired bourbon and kent varieties of arabica by smallholding farmers this is a wetprocessed or washed coffee meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying founded in  lexington coffee is an awardwinning artisan roasting company based in virginia lexingtons focus on fresh flavorful and sustainable coffee is reflected in its motto fresh flavorful  fair visit wwwlexingtoncoffeecom or call  for more information,a bright engaging complex tanzania coffee inviting notes of dried tropical fruit and rich florals bookend sweet herb notes and a vanillalike suggestion reminiscent of fresh cigar wrapper
Guachepelin Costa Rica,Lexington Coffee Roasters,Light,United States,Sabanilla De Alajuela,Central Valley,5.86,93,September 2018,delicate crisply sweettart lime zest bakers chocolate plum freshcut fir a hint of apple brandy in aroma and cup richly bittersweet structure with brisk acidity full satiny mouthfeel the finish consolidates to notes of lime zest and aromatic wood with a whisper of fruittoned sweet ferment,certified organic produced at finca gachepelin by oscar and francisca chacon from trees of the villa sarchi and caturra varieties of arabica and processed at las lajas micromill by the red honey method with all honey processing methods some sweet pulp or fruit flesh honey is allowed to adhere to the beans during drying in the red honey variation all or almost all of the pulp is allowed to dry on the beans rather than only a portion of it as would be the case with yellow honey founded in  lexington coffee is an awardwinning artisan roasting company based in virginia lexingtons focus on fresh flavorful and sustainable coffee is reflected in its motto fresh flavorful  fair visit wwwlexingtoncoffeecom or call  for more information,a crisply elegant expression of red honeyprocessed coffee by a masterful producer in costa rica
Berlina Geisha,Barrington Coffee Roasting,Medium-Light,United States,Horqueta,Chiriquí,11.76,96,September 2018,elegant intensely sweettart resonantly floraltoned passionflower lemon drop roasted cacao nib apricot tamarind in aroma and cup sweettart structure with bright juicy acidity silky viscous mouthfeel the finish is resonant with all the flavor notes promised by the cup leading with apricot and tamarind in the short cocoa nib in the long and sweet florals throughout,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of  this coffee is available exclusively as a part of the barrington coffee curated collection which includes four ounces each of three distinguished coffees for  produced at la berlina estate from trees of the botanical variety geisha also gesha with its bold boatshaped beans and distinctive floral and crisply cacaotoned cup the gesha continues to be one of the worlds most soughtafter coffees and the esmeralda versions remain among the most authentic this is a wetprocessed or washed version meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying barrington coffee is an artisan roaster dedicated to elite coffees fresh delivery and roasting that foregrounds the coffee and not the roast visit wwwbarringtoncoffeecom or call  for more information,a soaring gesha cup balanced both delicate and rich deeply floral and stone fruitladen
Karimikui Kenya,JBC Coffee Roasters,Medium-Light,United States,Kirinyaga District,South-Central Kenya,5.73,94,October 2018,boldy sweettart savoryedged dark chocolate gooseberry honey lilac hazelnut butter in aroma and cup sweetly tart structure with bright juicy acidity crisp lively mouthfeel the resonant finish leads with tart fruit notes in the short resolving to honeytoned florals in the long all enveloped in dark chocolate,despite grower discontent contested government coffee policy and urban encroachment on prime coffee lands the famed kenya coffee auction system and its participating cooperatives continue to produce some of the worlds most elegant and distinctive coffees jbc coffee roasters vision is simple let the coffee lead the way through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums visit wwwjbccoffeeroasterscom or call  for more information,a big juicy kenya with sweettart fruit notes and a dark chocolate base classic in its balance of sweet and savory impulses
Kenya Baragwi Thimu Peaberry,Temple Coffee and Tea,Medium-Light,United States,Kirinyaga District,South-Central Kenya,5.73,94,October 2018,spiced toned richly sweet red currant almond nougat pipe tobacco narcissuslike flowers hickory wood in aroma and cup in structure sweet tart and savory in balance with juicy acidity full velvetysmooth mouthfeel the finish is crisp resonant and flavorsaturated ,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of  produced by the baragwi farmers cooperative society from trees of the sl ruiru  and sl varieties of arabica despite grower discontent contested government coffee policy and urban encroachment on prime coffee lands the famed kenya coffee auction system and its participating cooperatives continue to produce some of the worlds most elegant and distinctive coffees temple coffee is a qualityfocused retail and wholesale specialty roaster active in sacramento california since  committed to sourcing roasting and brewing the finest coffees temple features coffee from distinguished single estates and cooperatives around the world visit wwwtemplecoffeecom or call  for more information,an elegant spicetoned kenya cup loaded with red fruit notes and exhilarating hightoned florals
Kariru Kenya,JBC Coffee Roasters,Medium-Light,United States,South-Central Kenya,Kirinyaga District,5.73,94,October 2018,delicate richly sweetsavory toffee tamarind roasted cacao nib star jasmine almond in aroma and cup savorysweet in structure with balanced round acidity plush syrupy mouthfeel the crisply sweet finish is floraltoned supported by notes of cocoa nib and toffee,despite grower discontent contested government coffee policy and urban encroachment on prime coffee lands the famed kenya coffee auction system and its participating cooperatives continue to produce some of the worlds most elegant and distinctive coffees jbc coffee roasters vision is simple let the coffee lead the way through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums visit wwwjbccoffeeroasterscom or call  for more information,a rich savoryleaning kenya cup with a vivid spicyfloral throughline
Esmeralda Estate Porton Geisha Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Boquete Growing Region,Western Panama,33.07,96,October 2018,richtoned cleanly fruitforward intricately balanced concord grape pungent myrrh roasted cacao nib honeysuckle candy cap mushroom in aroma and cup deeply sweettart structure with bright juicy acidity plush syrupy mouthfeel the resonant flavorsaturated finish rings on with all of the notes from the cup,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of   this coffee earned the highest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report coffee from trees of the botanical variety geisha also gesha grown on hacienda la esmeralda in panama first introduced this extraordinary variety of arabica to the world with its bold boatshaped beans and distinctive floral and crisply cacaotoned cup the geishagesha continues to be one of the worlds most celebrated and soughtafter coffee varieties and the esmeralda versions remain among the most authentic this is a dryprocessed or natural version meaning the beans were dried inside the fruit rather than after the soft fruit residue has been removed as is the case with wetprocessed or washed coffees dragonfly coffee is a boulder coloradobased microroaster that produces highquality coffees and supports worthy causes visit wwwdragonflycoffeeroasterscom or call  for more information,a harmonious refined exquisitely clean naturalprocessed geisha cup
Kenya Kiambu,Revel Coffee,Medium-Light,United States,Kiambu County,South-Central Kenya,4.92,94,October 2018,deeply sweet richly savory red currant lavender bakers chocolate cedar maple syrup in aroma and cup bittersweet structure with crisp lively acidity full creamy mouthfeel the finish leads with notes of red currant and bakers chocolate in the short with pretty hints of lavender in the long,this coffee earned the secondhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees revel coffee is a microroaster located in billings montana its motto quality is paramounta difference you can revel in visit wwwrevelcoffeecom or call  for more information,a classically appealing kenya cup juicy sweettoned with a savory ballast and spicy floral notes
Kenya Gatuya,Big Creek Coffee Roasters,Medium,United States,South-Central Kenya,Kiambu County,5.0,93,October 2018,crisply sweet richly cocoatoned dark chocolate hop flowers apricot oak agave syrup in aroma and cup deeply sweet in structure with hightoned lively acidity satinysmooth mouthfeel the resonant finish is crisp with cocoa and apricot notes followed by a hint of bittersweet hop flowers,this coffee tied for the thirdhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees big creek coffee roasters is a small qualityoriented batch roaster located in montanas bitterroot valley visit wwwbigcreekcoffeeroasterscom or call  for more information,a complex chocolaty and floral kenya cup with pretty stone fruit notes throughout
Ethiopia,Caffeic,Medium-Light,United States,Bench-Maji Zone,Southern Ethiopia,3.97,93,October 2018,crisply sweet fruittoned raspberry roasted cacao nib honey freshcut fir freesialike flowers in aroma and cup richly sweettart in structure with vibrant acidity delicate silky mouthfeel the long lasting finish centers around cocoatoned honey and freesia,this coffee tied for the thirdhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report southern ethiopia produces distinctive coffees from traditional largely indigenous varieties of arabica long grown in the region this is a natural or dryprocessed version meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees caffeic is a familyowned montanabased roaster with a focus on sourcing and sharing the highestquality coffees available visit wwwcaffeiccoffee for more information,a sweetly fruitforward naturalprocessed ethiopia with spicyfloral intrigue
Kenya Gatuyaini,Evans Brothers Coffee Roasters,Medium-Light,United States,South-Central Kenya,Bench-Maji Zone,4.85,93,October 2018,sweettoned richly savory dried fig ginseng narcissus oak forest hazelnut in aroma and cup savorysweet structure with round gentle acidity plush syrupy mouthfeel the finish consolidates to notes of dried fig and narcissus followed by sweetly earthy ginseng,this coffee tied for the thirdhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees rick and randy evans founded evans brothers coffee in  focused on sourcing and roasting the finest small lots of seasonally available coffees in a context of sustainability and responsibility visit wwwevansbrotherscoffeecom or call  for more information,a kenya cup that juxtaposes savory and sweet with a pleasing and original undercurrent of earthyspicy ginseng
Kenya AA Top Lot,Mystic Monk Coffee,Medium,United States,South-Central Kenya,South-Central Kenya,3.51,93,October 2018,sweetly roasttoned richly chocolaty dark chocolate dried apricot fine musk freshcut fir azalea in aroma and cup sweettoned structure with gentle round acidity full syrupy mouthfeel the resonant finish consolidates to notes of chocolate and dried apricot,this coffee tied for the thirdhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees mystic monk coffee is a smallbatch roaster associated with a carmelite monastery located in the rocky mountains of northern wyoming the monks emphasize an artisan approach to roasting and a commitment to quality visit wwwmysticmonkcoffeecom or call  for more information,a pleasingly rich kenya cup deftly roasted to mediumdark with chocolate and stone fruit notes throughout
Kenya Kainamui,Sweet Bloom Coffee Roasters,Medium-Light,United States,South-Central Kenya,South-Central Kenya,5.88,93,October 2018,vibrant hightoned deeply sweet candied violet pomegranate sandalwood honey almond in aroma and cup richly sweet structure with bright citrusy acidity satiny mouthfeel sweetly tart in the short finish and redolent of honey and pomegranate in the long,this coffee tied for the thirdhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees founded by andy sprenger in  sweet bloom develops longterm relationships with coffee producers that emphasize transparency and consistency visit wwwsweetbloomcoffeecom for more information,a deep nuanced kenya cup with notes of tart fruit sweet florals and rich aromatic wood
Kenya Kariru PB,Corvus Coffee Roasters,Light,United States,South-Central Kenya,South-Central Kenya,6.17,92,October 2018,crisply sweettart engagingly bright tangerine zest bakers chocolate tamarind orange blossom molasses in aroma and cup sweettart structure with brisk acidity velvetysmooth mouthfeel floral in the short finish followed by notes of bakers chocolate and citrus zest in the long,this coffee tied for the fourthhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees corvus coffee roasters is based in denver colorado and specializes in rare and exclusive coffees from some of the finest growers in the world corvus particularly focuses on processing methods and selective harvesting which result in small seasonal microlots of uniquely sweet vibrant and clean flavor profiles for more information visit wwwcorvuscoffeecom,a lively citrus and cocoadriven richly sweettart kenya cup
Organic Ethiopia Sidama Natural,Desert Sun Coffee Roasters,Medium-Light,United States,Sidama (Also Sidamo) Growing Region,South-Central Ethiopia,4.7,92,October 2018,richly chocolaty and fruittoned dark chocolate dried berries mesquite orange zest narcissuslike flowers in aroma and cup deeply sweet structure with balanced acidity velvetysmooth mouthfeel the finish is redolent of dark chocolate and dried berries with a hint of mesquite,this coffee tied for the fourthhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report southern ethiopia coffees like this one are produced from traditional largely indigenous varieties of arabica long grown in the region this is a dryprocessed or natural coffee meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees desert suns roastery is located at nearly  feet above sea level in the san juan mountains of colorado it imports its coffee through its membership in coop coffees a cooperative importer visit wwwdesertsuncoffeecom or call  for more information,a deep rich chocolaty naturalprocessed ethiopia coffee with intriguing notes of mesquitelike aromatic wood
Kenya Mwiria,Durango Coffee Company,Medium-Light,United States,South-Central Kenya,Sidama (Also Sidamo) Growing Region,4.98,92,October 2018,rich sweet floral and chocolaty magnolia dark chocolate date cedar pink grapefruit zest in aroma and cup crisp sweet structure with balanced acidity smooth satiny mouthfeel the quiet finish consolidates to magnolia and date in the short cedar and dark chocolate in the long,this coffee tied for the fourthhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather kenya continues to produce some of the worlds most elegant and distinctive coffees located in southwestern colorado durango coffee lays claim to a rich coffee history that dates to  its motto is tough town great coffee visit wwwdurangocoffeecom or call  for more information,a chocolatetoned floral kenya cup with bittersweet notes of citrus zest pleasingly roasted toward the darker end of medium
Colombia Narino Excelsio,Jackrabbit Java,Medium-Light,United States,Narino Department,Southern Colombia,3.53,92,October 2018,balanced richtoned crisply sweet bakers chocolate plum hazelnut maple syrup wisteria in aroma and cup deeply sweet structure with lively acidity viscous lightly syrupy mouthfeel the richly drying finish is cocoaladen with supporting notes of stone fruit and nuts,this coffee tied for the fourthhighest rating in a cupping of coffees from us mountain states roasters for coffee reviews october  tasting report from an admired growing region in the southernmost colombia department of nario jackrabbit java selects the finest coffees from around the world and roasts them in thermopolis wyomings mountain air all jackrabbit java coffees are specialtygrade and roasted to order visit wwwjackrabbitjavacom for more information,a solid colombia cup with balanced structure and acidity and engaging understated fruit and floral tones
Ethiopia Washed Phoenix Special “Muse”,Simon Hsieh's Aroma Roast Coffees,Medium-Dark,Taiwan,Gedeb District,Gedeo Zone,9.91,95,October 2018,evaluated as espresso balanced richtoned floral jasmine vanilla pink grapefruit zest cedar dark chocolate in aroma and small cup delicate lively mouthfeel long flavorsaturated finish in cappuccinoscaled milk notes of jasmine and vanilla take center stage supported by dark chocolate ,southern ethiopia produces distinctive coffees from largely indigenous traditional varieties of arabica long grown in the region coffees like this one processed by the wet or washed method fruit skin and pulp is removed before drying typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes in addition to his retail roasting operation aroma roast coffees simon hsieh also operates soaring phoenix trading a business focused on purposebuilt commercial espresso blends and high quality singleorigin coffees visit wwwfacebookcomartszerodefectcoffees or call  for more information,an elegant floraldriven espresso simultaneously delicate and rich
Kenya AB Phoenix Special “Glory”,Simon Hsieh's Aroma Roast Coffees,Medium-Dark,Taiwan,Kirinyaga District,South-Central Kenya,10.62,94,October 2018,evaluated as espresso deeply and richly sweetsavory blackberry roasted cacao nib tamarind sandalwood pistachio in aroma and small cup crisp but velvetysmooth mouthfeel rich resonant flavorladen finish berry and cocoa notes lead in cappuccinoscaled milk followed by an intriguing hint of sandalwood,despite grower discontent and urban encroachment on prime coffee lands kenya continues to produce some of the worlds most elegant and distinctive coffees in addition to his retail roasting operation aroma roast coffees simon hsieh also operates soaring phoenix trading a business focused on purposebuilt commercial espresso blends and high quality singleorigin coffees visit wwwfacebookcomartszerodefectcoffees or call  for more information,a resonantly sweetsavory kenya espresso deep vivid alive with notes of berry cocoa nut and tamarind
Cupid Blend,709 Boutique Coffee,Medium,Taiwan,Guatemala,Indonesia,7.2,93,October 2018,crisp richly sweet bakers chocolate mango fresh humus maple syrup narcissuslike flowers in aroma and cup sweet in structure with round gentle acidity full syrupy mouthfeel notes of cocoatoned mango lead the short finish with fresh humus in the long, boutique coffee was founded in  as a coffee shop in taichung roaster huang yu hao offers both freshly roasted coffee and homeroasting lessons for customers visit httpsgooglgpxoky for more information ,a chocolaty blend with notes of tropical fruit and sweet earth tones
